ID,en,ar,zh-Hans,zh-Hant,de,es,fa,fr,he,id,it,ja,ko,hu,nl,no,pl,pt-br,ru,uk,fi,vi,tr
AchievementTitle83,Your Screen Has Cracks,شاشتك لديها شقوق,屏幕裂了,屏幕裂了,Dein Bildschirm hat Risse,Tu pantalla tiene grietas,صفحه‌نمایشتان ترک خورد,Votre écran est fissuré,למסך שלך יש סדקים,Layarmu Retak Lho,Il tuo Schermo ha delle crepe,画面にひびが入っている,화면에 금이 가지 않았나요?,A képernyődön repedések vannak,Je scherm heeft barsten.,Din skjerm har sprekker,Twój ekran chyba już popękał,Sua Tela Tem Rachaduras,Трещины на экране,Тріщини на екрані,Näytössäsi on murtumia,Màn hình của bạn có vết nứt,Ekranın Çatladı
AchievementDesc83,Tap the equation 100000 times.,إضغط على المعادلة 100000 مرة.,点击公式100000次。,點擊方程式100000次。,Tippe die Gleichung 100000 mal an.,Toca la ecuación 100000 veces.,100000 بار روی معادله ضربه بزنید.,Appuyez 100000 fois sur l'équation.,"לחץ על המשוואה 100,000 פעמים.",Tekan persamaan 100000 kali.,Premi l'equazione 100000 volte.,等式を100000回タップする。,방정식을 100000번 탭하세요.,Koppintson az egyenletre 100000-szer.,Tik 100000 keer op de vergelijking,Trykk på likningen 100000 ganger.,Kliknij równanie 100000 razy.,Toque na equação 100000 vezes.,Нажмите на уравнение 100000 раз.,Натисніть на рівняння 100000 раз.,Napauta yhtälöä 100000 kertaa.,Nhấn vào phương trình 100000 lần.,Denkleme 100000 defa tıkla.
AchievementTitle84,Why Are You Doing This?,لماذا تفعل هذا؟,告诉我，为什么？,告訴我，為什麼？,Warum tust du dir das an?,¿Por qué hacés esto?,چرا اینجوری می‌کنی؟,Pourquoi fais-tu ça ?,למה אתה עושה את זה?,Mengapa kau melakukan ini?,Perché lo stai facendo?,どうしてそんなことをしているの？,왜 그러세요...,Miért Csinálod Ezt?,Waarom doe je dit?,Hvorfor gjør du dette?,Czemu to robisz?,Por Que Você Está Fazendo Isso?,Почему ты это делаешь?,Чому ти це робиш?,Miksi teet tätä?,Tại sao bạn lại làm thế này?,Bunu neden yapıyorsun?
AchievementDesc84,Manually buy the free variable 1000 times.,يدويًا قم بشراء المتغير المجاني 1000 مرة.,手动购买免费变量1000次。,手動購買免費變量1000次。,Kaufe manuell die kostenlose Variable 1000mal.,Compra manualmente la variable gratuita 1000 veces.,متغیر مجانی را هزار بار به‌صورت دستی خریداری کن.,Achetez manuellement la variable gratuite 1000 fois.,קנה ידנית את המשתנה החינמי אלף פעמים.,Beli variabel gratis 1000 kali secara manual.,Compra manualmente la variabile gratuita 1000 volte.,手動で無料の変数を1000回購入する。,수동으로 무료 변수를 1000번 구매하세요.,Manuálisan vedd meg az ingyenes változót 1000-szer.,Koop met de hand 1000 keer de gratis variabele.,Manuelt kjøp den gratise variabelen (y) 1000 ganger.,Ręcznie kup darmową zmienną 1000 razy.,Compre manualmente a variável grátis 1000 vezes.,Вручную купите бесплатную переменную 1000 раз.,Вручну купіть безкоштовну змінну 1000 разів.,Manuaalisesti osta ilmainen muuttuja 1000 kertaa.,Mua biến số miễn phí 1000 lần theo cách thủ công.,Ücretsiz değişkeni 1000 defa manuel olarak al.
AchievementTitle85,One-Handed Puzzler,لغز اليد الواحدة,单手操作,單手操作,Einhändiger Puzzelspieler,Con una sola mano,معما حل کن یک دستی,Un puzzle à une main,פותר פאזלים ביד אחת,Puzzler bertangan satu,Puzzle con una mano,片手パズラー,원 핸드 퍼즐러,Egykezes rejtvényfejtő,1 Handige Puzzelaar,Enhånds-Puzzler,Jednoręki rozwiązywacz,Puzzler de Uma Mão,Однорукий головоломщик,Однорукий бандит,Yksikätinen ratkaisija,Giải bằng một tay,Tek Elli Bulmacacı
AchievementDesc85,Complete a 15-Puzzle while holding the acceleration button.,اكمل لغز - 15 وانت ضاغط على زر التسارع.,在按住加速按钮的同时完成一局数字推盘游戏。,在按住加速按鈕的同時，完成數字推盤。,Schaffe ein 15-Puzzle während du die Beschleunigungstaste hältst,Gana un Juego de 15 manteniendo el botón de aceleración.,بازی پانزده را درحالی‌که دکمه شتاب را هم‌زمان نگه‌داشته‌اید تمام کنید.,Effectuez un taquin tout en maintenant le bouton d'accélération.,פתור את חידת ה-15 תוך כדי החזקה של לחצן ההאצה.,Menyelesaikan puzzle-15 sambil menahan tombol percepatan.,Completa un gioco del 15 tenendo premuto il pulsante acceleratore.,加速ボタンを押しながら15パズルをクリアする。,가속 버튼을 누르고 있는 상태에서 슬라이드 퍼즐을 완료하세요.,Oldj meg egy Tili-Tolit míg a gyorsító gombot nyomod,Maak een 15-puzzel af terwijl je de versnelknop ingedrukt houd.,Fullfør et 15-Puzzle mens du holder akselerasjonsknappen nede,Ukończ Piętnastkę przytrzymując przycisk przyspieszenia,Complete um Jogo do 15 enquanto segura o botão de aceleração.,"Соберите Пятнашки, удерживая кнопку ускорения.","Зберіть П'ятнашки, утримуючи кнопку прискорення.",Ratkaise 15-palapeli pitäen kiihtyvyys painiketta.,Hoàn thành một trò chơi xếp hình 15 số trong khi tay kia giữ nút tăng tốc.,Hızlandırıcıyı bırakmadan 15-bulmaca tamamla.
AchievementTitle86,"Hold, Not Tap",استمر بالضغط، لا تضغط.,按住，而不是点击,按住，而不是點擊,"Halten, nicht tippen","Mantén, no toques",ضربه نزن، نگهدار ,"Ne cliquez pas, maintenez","החזק, אל תלחץ","Tahan, Bukan Diketuk","Tieni premuto, non toccare.",タップではなく長押し。,탭 말고 홀드,"Tartsd nyomva, ne koppintsd","Vasthouden, niet tikken","Hold, ikke trykk","Trzymaj, nie klikaj","Segure, Não Toque","Держи, а не нажимай","Тримай, а не натискай","Paina, Älä napauta","Giữ, không phải nhấn","Basılı Tut, Tıklama"
AchievementDesc86,Tap the acceleration button 10 times in a row.,إضغط على زر التسارع 10 مرات متتالية.,连续点击加速按钮10次。,連續點擊加速按鈕10次。,Tippe 10 Mal hintereinander auf die Beschleunigungstaste.,Toca el botón de aceleración 10 veces seguidas.,روی دکمه شتاب 10 بار پشت سر هم ضربه بزن.,Appuyez sur le bouton d'accélération 10 fois de suite.,החזק את כפתור ההאצה 10 פעמים ברציפות.,Ketuk tombol percepatan 10 kali berturut-turut.,Premi il pulsante acceleratore 10 volte di seguito.,加速ボタンを10回連続でタップする。,가속 버튼을 연속으로 10번 탭하세요,Koppints a gyorsító gombra 10-szer egymás után,Tik 10 keer achterelkaar op de versnel knop.,Trykk på akselerasjonsknappen 10 ganger på rad.,Dotknij przycisku Przyspieszenia 10 razy z rzędu.,Toque no botão de aceleração 10 vezes seguidas.,Нажмите кнопку ускорения 10 раз подряд.,Натисніть кнопку прискорення 10 раз поспіль.,Napauta kiihdytys painiketta 10 kertaa peräkkäin.,Nhấn nút tăng tốc liên tục 10 lần.,Hızlandırıcıya art arda 10 defa tıkla.
AchievementTitle87,Initial Release,الإصدار الأولي,初始版本,初始版本,Erstveröffentlichung,Versión inicial,انتشار اولیه,Version initiale,שחרור ראשוני,Rilis Awal,Versione iniziale,初回リリース,최초 배포본,Eredeti kiadás,Eerste uitgave,Første utgivelse,Pierwsze wydanie,Lançamento Inicial,Первый релиз,Перший реліз,Ensimmäinen julkaisu,Lần phát hành đầu,İlk sürüm
AchievementDesc87,"Tap the ""Initial Release"" label in the ""What's New"" window.","إضغط على تسمية "" الإصدار الأولي في نافذة "" ما الجديد "".",点击“版本更新”窗口里的“初始版本”。,點擊「版本内容」裏的「初始版本」。,Tippen Sie auf das ‚erstveröffentlichung‘ label im ‚Was ist neu‘ Fenster.,"Toca la etiqueta ""Versión inicial"" que se encuentra en ""Novedades"".","بخش ""انتشار اولیه"" را توی صفحه ""موارد جدید"" را مطالعه کن.",Appuyez sur la ligne « version initiale » dans la fenêtre « Quoi de neuf ».,"לחץ על התווית ""שחרור ראשוני"" ב""מה חדש"".","Tekan tombol ""Rilis Awal"" di jendela ""Apa yang Baru\quote",Premi sulla scritta 'Versione iniziale' nella pagina delle novità.,「更新履歴」ウィンドウで「初回リリース」をタップする。,'신규 정보' 창에서 '최초 배포본'을 탭합니다.,Koppintson az 'Eredeti Kiadás'-ra az 'Újdonságok' ablakban,Druk op de 'Eerste uitgave' label in het 'Wat is er Nieuw' venster.,"Trykk på ""Første utgivelse""-knappen nederst i ""Hva er nytt?""-vinduet.",Dotknij „Pierwsze wydanie” w zakładce „Co nowego”.,"Toque no rótulo ""lançamento inicial"" na janela ""O que há de novo"".",Нажми на «первый релиз» в окне «Что нового».,Натисни на «перший реліз» у вікні «Що нового».,Paina 'Ensimmäinen julkaisu' leimaa 'Uutta' -ikkunassa.,"Nhấn vào dòng chữ ""Lần phát hành đầu"" trong cửa số ""Có gì mới"".","\quoteYenilikler"" penceresindeki ""İlk sürüm"" etiketine tıkla."
AchievementTitle88,This is Sparta!,هذه هي سبارتا!,这就是斯巴达！,這就是斯巴達！,Das ist Sparta!,¡Esto es Esparta!,اینجا اسپارتا است!,This Is Sparta!,זוהי ספרטה!,Ini Sparta!,Questa è Sparta!,これがスパルタ！,디스 이스 스파르타!,Ez itt Spárta!,Dit is Sparta!,This is Sparta!,To jest Sparta!,Isto É Sparta!,Это Спарта!,Це Спарта!,This Is Sparta!,Đây là Sparta!,Burası Sparta!
AchievementDesc88,Set the auto-Prestige ratio to 300.,عين نسبة الهيبة التلقائية إلى 300.,把自动归一比例设置成300。,把自動歸一比例設置成300。,Setze das Auto-Prestige Verhältnis auf 300,Establece la proporción del Auto Prestigio a 300.,نسبت اعتبار خودکار را روی ۳۰۰ تنظیم کن.,Fixer le ratio de prestige automatique à 300.,הגדר את יחס היוקרה האוטומטי ל300.,Mengatur rasio prestise otomatis ke 300.,Imposta il rapporto di prestigio automatico a 300.,自動プレステージの比率を300に設定する。,자동 프레스티지 비율을 300으로 설정합니다.,Állítsd be az automatikus presztízs arányát 300-ra.,Zet de Auto-Prestige verhouding op 300.,Sett autoprestisje-forholdet til 300.,Ustaw współczynnik autoprestiżu na 300,Defina a proporção de auto prestígio para 300.,Установи соотношение автопрестижа 300.,Встановіть відношення Авто-Престижу на 300,Määritä auto-prestigen suhteeksi 300.,Đặt tỷ lệ tự động Uy danh thành 300.,Oto-prestij oranını 300 olarak ayarla.
AchievementTitle89,Hesitation,تردد,犹豫不决,猶豫不決,Zögern,Vacilación,درنگ,Hésitation,היסוס,Keraguan,Esitazione,ためらい,주저,Habozás,Aarzeling,Nøling,Wahanie,Hesitação,Сомнения,Сумніви,Empiminen,Sự do dự,Duraksama
AchievementDesc89,Be offline for less than 10 seconds.,كن متواجدًا خارج اللعبة لأقل من 10 ثوانٍ.,单次挂机不到10秒。,單次掛機時間不足10秒。,Sei für weniger als 10 Sekunden offline.,Estate offline por menos de 10 segundos.,برای کمتر از ۱۰ ثانیه از برنامه خارج شو و برگرد,Être hors-ligne pendant moins de 10 secondes.,תהיה לא מחובר למשך פחות מעשר שניות.,Offline selama kurang dari 10 detik.,Resta offline per meno di 10 secondi.,ゲームを一度離れた後、10秒以内に戻ってくる,10초 미만 오프라인 상태를 기록하세요,"Legyél offline kevesebb, mint 10 másodpercig.",Wees offline voor minder dan 10 seconden.,Vær pålogget i under 10 sekunder.,Wyjdź z gry na mniej niż 10 sekund.,Fique offline por menos de 10 segundos.,Будь вне игры меньше 10 секунд.,Будь поза грою менше 10 секунд.,Ole pois pelistä alle 10 sekuntia.,Rời trò chơi trong 10 giây hoặc ít hơn.,10 saniyeden az çevrimdışı ol.
InstructionsSectionTitle15,Leaderboard,قوائم المتصدرين,排行榜,排行榜,Bestenliste,La tabla de posiciones,تابلو امتیازات,Classement,לוח תוצאות,Papan Peringkat,Classifica,リーダーボード,순위표,Ranglista ,Scorebord,Topplister,Tabela wyników,Ranking,Список лидеров,Список лідерів,Tulostaulu,Bảng xếp hạng,Lider Tablosu
InstructionsSectionTitle16,Acknowledgments,شكر وتقدير,鸣谢,鳴謝,Danksagungen,Agradecimientos,تشکر و قدردانی,Remerciements,תודות,Ucapan Terima Kasih,Ringraziamenti,謝辞,감사의 글,Köszönetnyívánítás ,Dankwoord,Bekreftelser,Podziękowania,Reconhecimentos,Благодарности,Подяки,Kiitokset,Sự nhìn nhận,Teşekkürler
InstructionsSectionTitle18,Variables,المتغيرات,变量,變量,Variablen,Variables,متغیرها,Variables,משתנים,Variabel,Variabili,変数,변수,Vátozók,Variabelen,Variabler,Zmienne,Variáveis,Переменные,Змінні,Muuttujat,Biến số,Değişkenler
InstructionsSectionTitle23,Currency Bar,شريط العملات,货币栏,貨幣欄,Währungsanzeige,Barra de monedas,نوار ارز,Barre des devises,שורת מטבע,Bilah mata uang,Barra delle valute,通貨バー,화폐 바,Pénznem sáv,Valuta Balk,Valutabaren,Pasek walut,Barra de Moedas,Панель валют,Панель валют,Valuutta Palkki,Thanh tiền tệ,Döviz Barı
MathExpFunction,Function,الدالة,函数,函數,Funktion,Función,تابع,Fonction,פונקציה,Fungsi,Funzione,関数,함수,Függvény,Functie,Funksjon,Funkcja,Função,Функция,Функція,Funktio,Hàm số,Fonksiyon
ImpExpPopupTitle,Import/Export,استيراد/تصدير,导入/导出,導入/導出,Importieren/Exportieren,Importar y exportar,ذخیره/بازیابی,Importer/Exporter,יבוא/יצוא,Ekspor/Impor,Importa/Esporta,インポート/エクスポート,불러오기/내보내기,Importálás/Exportálás,Importeren/Exporteren,Importer / Eksporter,Importuj/Eksportuj,Importar/Exportar,Импорт/Экспорт,Імпорт/Експорт,Tuonti/Vienti,Nhập/Xuất,İçeri/Dışarı Aktar
ImpExpPopupImpClip,Import From Clipboard,استيراد من الحافظة,从剪贴板导入,從剪貼板導入,Aus der Zwischenablage importieren,Importar desde el portapapeles,بازیابی از کلیپ بورد,Importer du presse-papiers,יבוא מתוך הלוח,Impor Dari Clipboard,Importa dagli appunti,クリップボードからインポート,클립보드에서 불러오기,Importálás a vágólapról,Importeren Vanuit Klembord,Importer fra utklippstavlen,Importuj ze schowka,Copiar para a Área de Transferência,Импорт из буфера,Імпорт з буфера,Tuonti Leikepöydältä,Nhập vào bảng tạm,Panodan İçe Aktar
ImpExpPopupExpClip,Export To Clipboard,تصدير إلى الحافظة,导出到剪贴板,導出到剪貼板,In die Zwischenablage exportieren,Exportar al portapapeles,ذخیره در کلیپ بورد,Exporter au presse-papiers,יצוא אל הלוח,Ekspor Ke Clipboard,Esporta negli appunti,クリップボードへエクスポート,클립보드로 내보내기,Exportálás a vágólapra,Exporteren Naar Klembord,Eksporter til utklippstavlen,Eksportuj do schowka,Exportar para a Área de Transferência,Экспорт в буфер,Експорт в буфер,Vie Leikepöydälle,Xuất ra bảng tạm,Panoya Kopyala
ImportPopupImportOffProgTitle,Offline Progress,التقدم الغير متصل,离线进度,離線進度,Offline-Fortschritt,Progreso offline,پیشرفت خارج بودن از بازی,Progression hors-ligne,התקדמות לא-מקוונת,Progres Offline,Progressi Offline,オフライン間の進行,오프라인 진행,Offline Haladás,Offline Voortgang,Offline fremgang,Postęp offline ,Progresso Offline,Оффлайн Прогресс,Оффлайн прогрес,Poissolon Tuotokset,Tiến trình nghỉ,Çevrimdışı İlerleme
RewardsPopupPermTitle,Permanent Ad Reward,مكافئة إعلان دائمية,永久广告奖励,永久廣告獎勵,Permanenter Werbebonus,Recompensa permanente,پاداش دائمی,Récompense de Pub permanente,פרס מודעה קבוע,Hadiah Iklan Permanen,Ricompensa permanente,広告報酬の恒久化,영구 광고 보상,Állandó Reklám Jutalom,Permanente Advertentie Beloning,Permanent Reklamebelønning,Stała nagroda z filmików,Recompensa de Anúncio Permanente,Постоянный рекламный бонус,Постійний рекламний бонус,Pysyvä Mainos Palkinto,Phần thưởng quảng cáo vĩnh viễn,Kalıcı Reklam Ödülü
SettingsPopupTitle,Settings,الإعدادات,设置,設置,Einstellungen,Ajustes,تنظیمات,Paramètres,הגדרות,Pengaturan,Impostazioni,設定,설정,Beállítások,Instellingen,Innstillinger,Ustawienia,Configurações,Настройки,Налаштування,Asetukset,Cài đặt,Ayarlar
SettingsPopupInstrB,Instructions,التعليمات,教学说明,教學說明,Anleitung,Instrucciones,دستورالعمل‌ها,Instructions,הוראות,Instruksi,Istruzioni,説明書,안내,Utasítások,Instructies,Instruksjoner,Instrukcje,Instruções,Инструкции,Інструкції,Ohjeet,Hướng dẫn,Talimatlar
StarPopupTitle,Star Bonuses,مكافآت النجوم,星加成,星加成,Stern-Boni,Bonus estelares,ستاره‌ها,Bonus d'étoiles,תוספי כוכב,Bonus Bintang,Stelle Bonus,スターボーナス,별 보너스,Csillag bónuszok,Ster Bonussen,Stjernebonuser,Gwiezdne bonusy,Bônus de Estrela,Бонусы звезд,Бонуси зірок,Tähti Bonukset,Phần thưởng sao,Yıldız Bonusları
StatsPopupStatTapStars,Tap Stars,ضغط النجوم الإرادي,点击得到的星数,從點擊獲得的星數,Tipp Sterne,Estrellas por toque,ستاره‌های ضربه,Étoiles via les Clics,כוכבים מלחיצות,Bintang Ketukan,Stelle dai tocchi,タップで獲得したスター,탭으로 얻은 별,Koppintás Csillagok,Tik Sterren,Stjerner fra trykk,Wyklikanych gwiazdek,Estrelas por Toque,Звезд за тапы,Зірки за натискання,Napautus Tähdet,Sao từ việc nhấn,Tıklama Yıldızları
StatsPopupStatTickStars,Tick Stars,ضغط النجوم اللاإرادي,按刻得到的星数,從刻數獲得的星數,Tick ​​Sterne,Estrellas por tick,ستاره‌های تیک,Étoiles via les Ticks,כוכבים מטיקים,Bintang Tik,Stelle dai tick,ティックの経過で獲得したスター,틱으로 얻은 별,Tick Csillagok,Tick Sterren,Stjerner fra tikk,Cyklowych gwiazdek,Estrelas por Tique,Звезд за такты,Зірки за такти,Tikki Tähdet,Sao từ các tích,Tik Yıldızları
StatsPopupStatGameStars,Minigame Stars,نجوم الألعاب المصغرة,小游戏得到的星数,從小遊戲獲得的星數,Minispiel Sterne,Estrellas por minijuego,ستاره‌های مینی بازی,Étoiles des mini-jeux,כוכבים ממיני-משחקים,Bintang Minigame,Stelle dai minigiochi,ミニゲームで獲得したスター,미니게임에서 얻은 별,Minijáték Csillagok,Minigame Sterren,Stjerner fra minispill,Gwiazdki z minigier,Estrelas por Minijogos,Звезд от мини-игр,Зірки від міні-ігор,Minipeli Tähdet,Sao từ các minigame,Mini Oyun Yıldızları
StatsPopupStatTimeOnline,Time: Current In-Game,الوقت: الحالي في اللعبة,当前游戏内时间,當前遊戲在線時間,Zeit: Aktuelle In-Game,Tiempo: Online,مدت زمان کل بازی,Temps : En ligne,זמן: משחק מקוון,Waktu: Dalam Permainan,Tempo: Gioco Attuale,現ゲーム内の経過時間,시간: 현재 인게임,Idő: Aktuális Játékban,Tijd: Huidig in het Spel,Tid: Nåværende I-Spill,Czas obecności w grze,Tempo: Sessão Atual,Время: Внутриигровое,Час: поточний у грі,Aika: Nykyinen Pelissä,Thời gian: Trong trò chơi,Süre: Güncel Oyun içi
StarBonusVarTitle1,Variable {0},المتغير {0},变量 {0},變量{0},Variable {0},Variable {0},متغیر {0},Variable {0},משתנה {0},Variabel {0},Variabile {0},変数{0},변수 {0},Változó {0},Variabel {0},Variabel {0},Zmienna {0},Variável {0},Переменная {0},Змінна {0},Muuttuja {0},Biến số {0},Değişken {0}
StarBonusVarDesc,Adds a new variable to the list,يضيف متغير جديد إلى القائمة,在列表中添加一个新的变量,在列表中添加一個新的變量,Fügt eine neue Variable hinzu,Añade una nueva variable a la lista,متغیر جدیدی به لیست اضافه می‌شود.,Ajoute une nouvelle variable à la liste,מוסיף משתנה חדש לרשימה,Menambahkan variabel baru ke dalam daftar,Aggiunge una nuova variabile all'elenco,リストに新しい変数を追加します,목록에 새 변수를 추가합니다,Hozzáad egy új változót a listához,Voegt een nieuwe variabele toe aan de lijst,Legger til en ny variabel på listen,Dodaje nową zmienną do listy,Adiciona uma nova variável à lista,Добавляет новую переменную в список,Додає нову змінну до списку,Lisää uuden muuttujan luetteloon,Thêm một biến số mới vào danh sách,Listeye yeni bir değişken ekler
StarBonusBuyAllTitle,"\quoteBuy All"" button","زر ""شراء الجميع\quote",“一键购买”按钮,「全部購買」按鈕,‚Alles kaufen‘ - Schaltfläche,"Botón ""Comprar todo\quote","دکمه ""خرید همه\quote",Bouton « Acheter tout »,"כפתור ""קנה הכל\quote","Tombol ""Beli Semua\quote","Tasto ""Compra tutto\quote","\quote全て購入""ボタン",'모두 구매'버튼,"\quoteMinden megvásárlása"" gomb","\quoteAlles kopen"" knop","\quoteKjøp Alt""-Knappen","Przycisk ""Kup wszystko\quote","Botão ""Comprar Tudo\quote",Кнопка «Купить все»,Кнопка «Придбати все»,"\quoteOsta Kaikki"" -painike","Nút ""Mua tất\quote","\quoteHepsini Al"" Butonu"
StarBonusBuyAllDesc,Adds a button to purchasing panels,يضيف زر إلى لوحات الشراء,在购买面板添加一个新的按钮,在購買面板添加一個新的按鈕,Fügt eine Schaltfläche zu den kaufbaren Flächen hinzu,Añade un botón a paneles de compras,"دکمه ""خرید همه"" را به صفحه هزینه اضافه می‌کند.",Ajoute un bouton aux panneaux d'items,מוסיף כפתור ללוחות הקנייה,Menambahkan sebuah tombol ke panel pembelian,Aggiunge un pulsante ai pannelli acquistabili,購入パネルにボタンを追加します,구매 패널에 새 버튼을 추가합니다,Hozzáad egy gombot a vevő panelekhez,Voegt een knop toe aan koopbare panelen,Legger til en knapp på kjøpepanelene,Dodaje przycisk do paneli kupna,Adiciona um botão para painéis compráveis.,Добавляет кнопку на основной экран,Додає кнопку на основний екран,Lisää painikkeen osto paneeleihin,Thêm một nút vào màn hình mua,Satın alım panellerine bir buton ekler
StarBonusAutoVarTitle,Variable auto-buyer,شراء متغير آلي,变量的自动购买器,變量自動購買器,Variablen Autokäufer,Auto comprador: variables,خرید خودکار متغیرها,Auto-acheteur de variables,קונה משתנים אוטומטי,Pembeli variabel otomatis,Acquisto variabili automatico,自動変数購入,변수 자동 구매,Változó autó-vevő,Variabelen Autobuyer,Auto-kjøper for variabler,Autokupowacz zmiennych,Auto-comprador de Variável,Автопокупка переменных,Автопридбання змінних,Muuttujien auto-ostaja,Tự mua biến số,Değişken Oto-Alıcı
StarBonusAutoVarDesc,Automatically buys variables,يشتري المتغيرات تلقائيًا,每隔一定时间自动购买变量,自動購買變量,Kauft automatisch Variablen,Compra variables automáticamente,به‌صورت خودکار ارتقاءهای متغیرها خریداری می‌شوند.,Achète automatiquement les variables,קונה משתנים אוטומטית,Membeli variabel secara otomatis,Acquista le variabili automaticamente,変数を自動で購入します,자동으로 변수 업그레이드를 구매합니다.,Automatikusan vesz változókat,Koopt automatisch variabelen,Kjøper automatisk variabler,Automatycznie kupuje zmienne,Comprar variáveis automaticamente,Автоматически покупает переменные,Автоматично купує змінні,Automaattisesti ostaa muuttujat,Tự động mua các biến số,Otomatik olarak değişkenleri alır
StarBonusAutoUpTitle,Upgrade auto-buyer,شراء ترقية آلي,升级的自动购买器,升級自動購買器,Upgrade Autokäufer,Auto comprador: mejoras,خرید خودکار ارتقاءها,Auto-acheteur d'améliorations,קונה שדרוגים אוטומטי,Pembeli peningkatan otomatis,Acquisto miglioramenti automatico,アップグレード自動購入,업그레이드 자동 구매기,Fejlesztés auto-vevő,Upgrade Autobuyer,Oppgrader auto-kjøper,Autoulepszacz,Auto-comprador de Upgrade,Автопокупка улучшений,Автопридбання покращень,Päivitysten auto-ostaja,Tự mua nâng cấp,Geliştirme Oto-Alıcı
StarBonusAutoUpDesc,Automatically buys upgrades,يشتري الترقيات تلقائيًا,每隔一定时间自动购买升级,自動購買升級,Kauft automatisch Upgrades,Compra mejoras automáticamente,به‌صورت خودکار ارتقاءهای عادی خریداری می‌شوند.,Achète automatiquement les améliorations,קונה שדרוגים אוטומטית,Membeli peningkatan secara otomatis,Acquista i miglioramenti in automatico,アップグレードを自動で購入します,자동으로 업그레이드를 구매합니다,Automatikusan vesz fejlesztéseket,Koopt automatisch upgrades,Kjøper automatisk oppgraderinger,Automatycznie kupuje ulepszenia,Comprar upgrades automaticamente,Автоматически покупает улучшения,Автоматично купує покращення,Automaattisesti ostaa päivityksiä,Tự động mua các nâng cấp,Otomatik olarak geliştirmeleri alır
StarBonusAutoPrestTitle,Auto-Prestige,هيبة آلية,自动归一,自動歸一,Auto Prestige,Auto Prestigio,اعتبار خودکار,Prestige automatique,יוקרה-אוטומטית,Prestise Otomatis,Prestigio Automatico,自動プレステージ,자동 프레스티지,Auto-presz,Auto-Prestige,Auto-prestisje,Auto-Prestiż,Auto-Prestígio,Автопрестиж,Автопрестиж,Auto-Prestige,Tự động Uy danh,Oto-Prestij
StarBonusAutoPrestDesc,Automatically Prestiges,يقوم بإجراء الهيبة تلقائيًا,每隔一定时间自动执行归一,自動執行歸一,Führt automatisch Prestige aus,Realiza prestigios automáticamente,به‌صورت خودکار فرایند اعتبار انجام می‌شود.,Effectue automatiquement les Prestiges,מבצע יוקרה אוטומטית,Melakukan prestise secara otomatis,Esegue Automaticamente i Prestigi,プレステージを自動で実行します,자동으로 프레스티지를 실행합니다.,Automatikus Presztizs,Voert automatisch Prestiges uit,Prestisjer automatisk,Automatycznie wykonuje Prestiż,Faz Prestígios automaticamente,Автоматически выполняет Престиж,Автоматично виконує Престиж,Tekee Prestigen automaattisesti,Tự động thực hiện Uy danh,Otomatik olarak Prestij gerçekleştirir
StarBonusAutoRateTitle,{0} Automation/s,{0} تشغيل آلي/ث,{0} 次自动操作/秒,{0}自動購買/秒,{0} Automationen/s,{0} Automatización/s,{0} خرید خودکار در ثانیه,{0} Automatisation/s,{0} אוטומציה לשנייה,{0} Otomatisasi per detik,{0} Automazione al secondo,自動化機能速度倍化,초당 {0} 자동화,{0} Automáció/s,{0} Automatisering/s,{0} Automatisering/s,{0} / s automatyzacji,{0} Automação/s,{0} автоматизаций/с,{0} автоматизацій/с,{0} Automaatiota/s,{0} Tự động hóa/s,{0} Otomasyon/sn
StarBonusAutoRateDesc,Increases the rate of automation,يزيد من معدل التشغيل الآلي,提高自动购买速度,提高自動購買率,Erhöht die Frequenz der Automatisierung,Aumenta la tasa de automatización,افزایش نرخ خرید خودکار,Augmente le fréquence des automates,מגביר את קצב האוטומציה,Meningkatkan kecepatan otomisasi,Aumenta il tasso di automazione,自動購入機能の頻度を倍にします,자동 구매 속도 증가,Növeli az automáció mértékét,Verhoogt de snelheid van automatisering,Øker frekvensen på automatiseringen,Zwiększa szybkość automatyzacji,Aumenta a taxa de automação,Увеличивает скорость автоматизации,Збільшує швидкість автоматизації,Nostaa automaatation tahtia,Tăng tốc độ tự động hóa,Otomasyon sıklığı artırır
StarBonusAccButtonTitle,Acceleration button,زر التسريع,加速按钮,加速按鈕,Beschleunigungstaste,Botón de aceleración,دکمه شتاب,Bouton d'accélération,לחצן האצה,Tombol akselerasi,Pulsante di accelerazione,加速ボタン,가속 버튼,Gyorsító gomb,Versnellingsknop,Akselerasjonsknappen,Przycisk przyspieszenia,Botão de Aceleração,Кнопка ускорения,Кнопка прискорювача,Kiihtyvyys painike,Nút tăng tốc,Hızlandırıcı Butonu
